"text","text_en","cmp_code","eu_code"
"Fulfilling Britain’s great potential",NA,NA,NA
"This general election is in many ways even more important than the last.",NA,NA,NA
"Since May 1997 we have laid the foundations of a Britain whose economy is stronger, where investment is now pouring into public services, where social division is being slowly healed and where influence abroad is being regained.",NA,NA,NA
"But these are only the foundations of larger change.",NA,NA,NA
"Now is the chance to build the future properly, to make the second term the basis for a radical programme of British renewal: to keep a firm grip on inflation, with low interest rates and the public finances sound, and then build the dynamic and productive economy of the future;",NA,NA,NA
"to keep investment coming into public services and then making the reforms so we use the money well;",NA,NA,NA
"to refashion the welfare state on the basis of rights and responsibilities, with people helped to help themselves, not just given handouts;",NA,NA,NA
"to ensure all families are safe in their communities by tackling crime and its causes;",NA,NA,NA
"and to give Britain back its leadership role in the world.",NA,NA,NA
"We need the second term to do all this.",NA,NA,NA
"That is the choice: to make progress or to dismantle the foundations laid.",NA,NA,NA
"And with the state of today’s Conservatives, the choice is stark.",NA,NA,NA
"This choice will decide whether more people will be able to realise their aspirations for themselves and their children – to be able to rely on a stable economy where hard work is rewarded by rising living standards, to receive world-class education and healthcare, to enjoy a dignified old age, to feel safe and secure in a strong community, and to be proud to be British.",NA,NA,NA
"Or whether we will be held back by the traditional British malaise of restricting life’s great opportunities and blessings to a minority.",NA,NA,NA
"There is much still to be done, but we have come a long way in four years.",NA,NA,NA
"Britain stands more prosperous, more equal, more respected.",NA,NA,NA
"Our country is on a new course.",NA,NA,NA
"My passion is to continue the modernisation of Britain in favour of hard-working families, so that all our children, wherever they live, whatever their background, have an equal chance to benefit from the opportunities our country has to offer and to share in its wealth.",NA,NA,NA
"The challenge for Britain.",NA,NA,NA
"I am honoured to be Prime Minister.",NA,NA,NA
"And I have a confident belief in our country.",NA,NA,NA
"We are not boastful.",NA,NA,NA
"But we have real strengths.",NA,NA,NA
"Great people.",NA,NA,NA
"Strong values.",NA,NA,NA
"A proud history.",NA,NA,NA
"The British people achieved magnificent things in the 20th century.",NA,NA,NA
"But for too long, our strengths have been undermined by weaknesses of elitism and snobbery, vested interests and social division, complacency bred by harking back to the past.",NA,NA,NA
"We achieved spurts of economic growth, but inflation would then get out of control.",NA,NA,NA
"Our welfare state was founded to offer security, but its progress was stalled.",NA,NA,NA
"We reached out to Europe, then drew back to become semi-detached.",NA,NA,NA
